"asv_name","percent_match","kingdom","phylum","class","order","family","genus","species"
"ASV4724_count_11",85.468,"Metazoa",NA,NA,NA,NA,NA,NA
"ASV4638_count_11",85.6105,NA,NA,NA,NA,NA,NA,NA
"ASV4870_count_10",96.774,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Roseomonadaceae","Roseomonas",NA
"ASV4781_count_10",100,NA,NA,NA,NA,NA,NA,NA
"ASV4798_count_10",91.25,"Bacillati","Actinomycetota","Actinomycetes","Micrococcales",NA,NA,NA
"ASV4875_count_10",87.013,"Bacillati","Vulcanimicrobiota",NA,NA,NA,NA,NA
"ASV4779_count_10",88.043,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV4803_count_10",91.837,"Bacillati","Actinomycetota","Actinomycetes","Kitasatosporales",NA,NA,NA
"ASV4854_count_10",87.5,"Viridiplantae","Chlorophyta",NA,NA,NA,NA,NA
"ASV4847_count_10",89.655,NA,"Tubulinea","Elardia",NA,NA,NA,NA
"ASV4797_count_10",85.287,NA,NA,NA,NA,NA,NA,NA
"ASV4684_count_11",86.347,"Pseudomonadati",NA,NA,NA,NA,NA,NA
"ASV4907_count_10",86.732,"Metazoa",NA,NA,NA,NA,NA,NA
"ASV4903_count_10",87.961,"Bacillati","Actinomycetota",NA,NA,NA,NA,NA
"ASV4737_count_11",94.34,"Bacillati","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae",NA,NA
"ASV4755_count_10",92.982,"Bacillati","Chloroflexota","Dehalococcoidia",NA,NA,NA,NA
"ASV4627_count_11",100,"Bacillati","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter oryzae"
"ASV4699_count_11",90.123,"Bacillati","Actinomycetota","Actinomycetes",NA,NA,NA,NA
"ASV4896_count_10",95.122,NA,"Candidatus Poribacteria",NA,NA,NA,NA,NA
"ASV4864_count_10",85.942,"Pseudomonadati",NA,NA,NA,NA,NA,NA
"ASV4887_count_10",85.247,"Pseudomonadati",NA,NA,NA,NA,NA,NA
"ASV4728_count_11",93.382,"Metazoa",NA,NA,NA,NA,NA,NA
"ASV4861_count_10",91.111,"Methanobacteriati","Methanobacteriota","Halobacteria","Halobacteriales",NA,NA,NA
"ASV4774_count_10",89.055,"Pseudomonadati","Pseudomonadota",NA,NA,NA,NA,NA
"ASV4656_count_11",86.2565,"Bacillati",NA,NA,NA,NA,NA,NA
"ASV4759_count_10",86.765,"Pseudomonadati",NA,NA,NA,NA,NA,NA
"ASV4773_count_10",93.478,"Metazoa","Mollusca","Bivalvia","Mytilida","Mytilidae",NA,NA
"ASV4772_count_10",100,"Metazoa","Xenacoelomorpha",NA,"Acoela","Childiidae","Philactinoposthia","Philactinoposthia sp. UJ-2011-1"
"ASV4836_count_10",87.838,"Metazoa","Mollusca",NA,NA,NA,NA,NA
"ASV4858_count_10",86.765,"Pseudomonadati",NA,NA,NA,NA,NA,NA
"ASV4753_count_10",85.149,"Metazoa",NA,NA,NA,NA,NA,NA
"ASV4708_count_11",87.2666,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV4623_count_11",100,"Pseudomonadati","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Oleidesulfovibrio","Oleidesulfovibrio alaskensis"
"ASV4843_count_10",99.721,NA,"Bacillariophyta","Bacillariophyceae","Cymbellales","Cymbellaceae","Cymbella","Cymbella tumida"
"ASV4974_count_10",98.039,NA,NA,"Eustigmatophyceae","Eustigmatales","Chlorobotryaceae","Vischeria",NA
"ASV4951_count_10",88.131,"Metazoa","Rotifera",NA,NA,NA,NA,NA
"ASV5216_count_9",90.655,"Pseudomonadati","Planctomycetota",NA,NA,NA,NA,NA
"ASV5075_count_9",93.939,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae",NA,NA
"ASV5231_count_9",92.2281666666667,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales",NA,NA,NA
"ASV4922_count_10",90.079,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria",NA,NA,NA,NA
"ASV4985_count_10",86.555,"Metazoa",NA,NA,NA,NA,NA,NA
"ASV5024_count_10",100,"Bacillati","Actinomycetota","Actinomycetes",NA,NA,NA,NA
"ASV5228_count_9",85.434,"Fungi",NA,NA,NA,NA,NA,NA
"ASV5051_count_10",88.916,"Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV5101_count_9",100,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria",NA,NA,NA,NA
"ASV5069_count_10",89.75,NA,"Tubulinea","Elardia",NA,NA,NA,NA
"ASV5115_count_9",85.9253333333333,"Fungi",NA,NA,NA,NA,NA,NA
"ASV5014_count_10",86.849,NA,NA,NA,NA,NA,NA,NA
"ASV4921_count_10",88.489,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV5233_count_9",97.9165,"Viridiplantae","Streptophyta","Magnoliopsida",NA,NA,NA,NA
"ASV5130_count_9",87.654,"Pseudomonadati","Pseudomonadota",NA,NA,NA,NA,NA
"ASV5049_count_10",91.774,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales",NA,NA,NA
"ASV5054_count_10",93.408,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"ASV5007_count_10",93.66,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"ASV5098_count_9",91.816,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales",NA,NA,NA
"ASV5058_count_10",93.35,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"ASV5171_count_9",91.404,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales",NA,NA,NA
"ASV5236_count_9",94.2915,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
