"asv_id","count","percent_match","kingdom","phylum","class","order","family","genus","species"
"ASV6978",6,89.4658888888889,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV7148",5,88.327,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV7220",5,88.054,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV7121",5,89.412,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV7430",5,90,"Metazoa","Arthropoda","Malacostraca",NA,NA,NA,NA
"ASV7153",5,98.377,"Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae",NA,"Entomobryidae sp. 3 PMP-2017"
"ASV7118",5,89.60925,"Metazoa","Arthropoda","Arachnida",NA,NA,NA,NA
"ASV7262",5,92.857,"Metazoa","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"ASV7160",5,92.857,"Metazoa","Arthropoda","Hexanauplia","Harpacticoida",NA,NA,NA
"ASV7151",5,100,"Metazoa","Arthropoda","Insecta","Hymenoptera","Vespidae","Zethus","Zethus angulatus"
"ASV7280",5,90.441,"Metazoa","Arthropoda","Collembola",NA,NA,NA,NA
"ASV7397",5,100,"Metazoa","Arthropoda","Diplopoda","Spirobolida",NA,NA,NA
"ASV7406",5,97.143,"Metazoa","Arthropoda","Arachnida","Trombidiformes","Diptilomiopidae","Brevulacus","Brevulacus reticulatus"
"ASV7381",5,92.5,"Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA
"ASV7337",5,95.652,"Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","Perilitus",NA
"ASV7423",5,90.476,"Metazoa","Arthropoda","Arachnida",NA,NA,NA,NA
"ASV7213",5,87.164,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV7533",5,88.966,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV7722",5,100,"Metazoa","Arthropoda","Arachnida","Sarcoptiformes",NA,NA,NA
"ASV7519",5,100,"Metazoa","Arthropoda","Hexanauplia","Harpacticoida",NA,NA,"Harpacticoida sp. 10BIOBC-01226"
"ASV7638",5,92.683,"Metazoa","Arthropoda","Arachnida","Sarcoptiformes",NA,NA,NA
"ASV7486",5,95.349,"Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Argyrotaenia",NA
"ASV7592",5,92.0406666666667,"Metazoa","Arthropoda","Insecta","Coleoptera",NA,NA,NA
"ASV7596",5,92.337,"Metazoa","Arthropoda","Insecta","Coleoptera",NA,NA,NA
"ASV7623",5,96.875,"Metazoa","Arthropoda","Arachnida","Araneae","Agelenidae","Aeolocoelotes",NA
"ASV7720",5,92.308,"Metazoa","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"ASV7455",5,89.189,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV7588",5,89.61,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV7643",5,93.023,"Metazoa","Arthropoda","Insecta","Diptera","Cecidomyiidae",NA,NA
"ASV7662",5,93.333,"Metazoa","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,NA
"ASV7640",5,93.197,"Metazoa","Arthropoda","Insecta","Hemiptera",NA,NA,NA
"ASV7877",4,91.525,"Metazoa","Arthropoda","Insecta","Lepidoptera",NA,NA,NA
"ASV8007",4,91.489,"Metazoa","Arthropoda","Arachnida","Araneae",NA,NA,NA
"ASV8009",4,100,"Metazoa","Arthropoda","Insecta","Trichoptera","Hydroptilidae","Metrichia","Metrichia amplitudinis"
"ASV7993",4,97.143,"Metazoa","Arthropoda","Malacostraca","Decapoda","Cambaridae","Orconectes","Orconectes barri"
"ASV7882",4,87.898,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV8144",4,100,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV8041",4,95.556,"Metazoa","Arthropoda","Arachnida","Araneae","Archaeidae","Austrarchaea",NA
"ASV7787",4,92,"Metazoa","Arthropoda","Insecta","Coleoptera",NA,NA,NA
"ASV7917",4,100,"Metazoa","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"ASV7896",4,96.552,"Metazoa","Arthropoda","Arachnida","Araneae","Dysderidae","Parachtes",NA
"ASV7957",4,100,"Metazoa","Arthropoda","Remipedia","Nectiopoda","Speleonectidae","Lasionectes","Lasionectes exleyi"
